taxa	scientific_name	rank
Navicula halophila	Navicula halophila (Grunow) Cleve, 1894	SPECIES
Navicula halophiloides	Navicula halophiloides Hustedt, 1959	SPECIES
Navicula hambergii	Navicula hambergi Hustedt, 1924	SPECIES
Navicula hanseatica	Navicula hanseatica Lange-Bertalot & Stachura	SPECIES
Navicula hanseatica ssp. hanseatica	Navicula hanseatica subsp. hanseatica	SUBSPECIES
Navicula harderi	Navicula harderi Hustedt	SPECIES
Navicula hasta	Navicula hasta Pantocsek	SPECIES
Navicula heimansioides	Navicula heimansioides Lange-Bertalot	SPECIES
Navicula helensis	Navicula helensis Schulz, 1926	SPECIES
Navicula heufleriana	Navicula heufleriana (Grunow) Cleve, 1894	SPECIES
Navicula hintzii	Navicula hintzii Lange-Bertalot	SPECIES
Navicula hoefleri	Navicula hoefleri Cholnoky & Schindler, 1953	SPECIES
Navicula hofmanniae	Navicula hofmanniae Lange-Bertalot	SPECIES
Navicula humerosa	Navicula humerosa Brébisson ex W.Smith, 1856	SPECIES
Navicula hungarica	Navicula hungarica	SPECIES
Navicula hustedtii	Navicula hustedtii Krasske, 1923	SPECIES
Navicula ignota	Navicula ignota Krasske, 1932	SPECIES
Navicula ignota var. acceptata	Navicula ignota var. acceptata (Hustedt) Lange-Bertalot, 1985	VARIETY
Navicula ignota var. ignota	Navicula ignota var. ignota	VARIETY
Navicula ignota var. palustris	Navicula ignota var. palustris (Hustedt) Lund, 1946	VARIETY
Navicula indifferens	Navicula indifferens Hustedt, 1942	SPECIES
Navicula inflata	Navicula inflata (Kützing) Kützing	SPECIES
Navicula ingenua	Navicula ingenua Hustedt	SPECIES
Navicula insociabilis	Navicula insociabilis	SPECIES
Navicula integra	Navicula integra (Grunow ex Cleve) Fricke, 1902	SPECIES
Navicula irmengardis	Navicula irmengardis Lange-Bertalot	SPECIES
Navicula iserentantii	Navicula iserentantii Lange-Bertalot & Witkowski	SPECIES
Navicula jaagii	Navicula jaagii Meister, 1935	SPECIES
Navicula jaernefeltii	Navicula jaernefeltii Hustedt, 1942	SPECIES
Navicula jakovljevicii	Navicula jakovljevici Hustedt	SPECIES
Navicula jentzschii	Navicula jentzschii Grunow	SPECIES
Navicula joubaudii	Navicula joubaudii H.Germain, 1982	SPECIES
Navicula kefvingensis	Navicula kefvingensis (Ehrenberg) Kützing	SPECIES
Navicula koenigii	Navicula koenigi Brockmann, 1950	SPECIES
Navicula kotschyi	Navicula kotschyi Grunow	SPECIES
Navicula kotschyi var. kotschyi	Navicula kotschyi var. kotschyi	VARIETY
Navicula kotschyi var. rostellata	Navicula kotschyi Grunow	SPECIES
Navicula krammerae	Navicula krammerae Lange-Bertalot	SPECIES
Navicula krasskei	Navicula krasskei Hustedt, 1930	SPECIES
Navicula kuelbsii	Navicula kuelbsii Lange-Bertalot, 1985	SPECIES
Navicula lacunolaciniata	Navicula lacunolaciniata Lange-Bertalot & Bonik, 1976	SPECIES
Navicula lacustris	Navicula lacustris Schmidt, 1874	SPECIES
Navicula lacuum	Navicula lacuum Lange-Bert., Hofmann, Werum & Van de Vijver, 2009	SPECIES
Navicula laevissima	Navicula laevissima	SPECIES
Navicula laevissima var. laevissima	Navicula laevissima var. laevissima	VARIETY
Navicula laevissima var. perhibita	Navicula laevissima var. perhibita (Hustedt) Lange-Bertalot, 1985	VARIETY
Navicula lanceolata	Navicula lanceolata (Agardh) Kützing	SPECIES
Navicula lancettula	Navicula lancettula Schumann	SPECIES
Navicula lapidosa	Navicula lapidosa	SPECIES
Navicula latens	Navicula latens Krasske ex Hustedt, 1934	SPECIES
Navicula laterostrata	Navicula laterostrata Hustedt	SPECIES
Navicula laticeps	Navicula laticeps Hustedt, 1942	SPECIES
Navicula latissima	Navicula latissima J.W.Bailey, 1854	SPECIES
Navicula leistikowii	Navicula leistikowii Lange-Bertalot	SPECIES
Navicula lenzii	Navicula lenzii Hustedt	SPECIES
Navicula leptostriata	Navicula leptostriata Jørgensen	SPECIES
Navicula lesmonensis	Navicula lesmonensis Hustedt, 1957	SPECIES
Navicula levanderi	Navicula levanderi Hustedt, 1934	SPECIES
Navicula libonensis	Navicula libonensis Schoeman	SPECIES
Navicula longicephala	Navicula longicephala Hustedt	SPECIES
Navicula longicephala var. longicephala	Navicula longicephala Hustedt	SPECIES
Navicula longicephala var. vilaplanii	Navicula longicephala var. vilaplanii Lange-Bertalot & Sabater, 1990	VARIETY
Navicula lucidula	Navicula lucidula Grunow	SPECIES
Navicula lucinensis	Navicula lucinensis Hustedt, 1950	SPECIES
Navicula lundii	Navicula lundii Reichardt	SPECIES
Navicula maceria	Navicula maceria Schimanski, 1978	SPECIES
Navicula maculosa	Navicula maculosa Donkin, 1871	SPECIES
Navicula margalithii	Navicula margalithii Lange-Bertalot	SPECIES
Navicula medioconvexa	Navicula medioconvexa Hustedt	SPECIES
Navicula mediocostata	Navicula mediocostata Reichardt, 1988	SPECIES
Navicula mediocris	Navicula mediocris Krasske, 1932	SPECIES
Navicula menisculus	Navicula menisculus Schumann	SPECIES
Navicula menisculus var. grunowii	Navicula menisculus var. grunowii Lange-Bertalot	VARIETY
Navicula menisculus var. menisculus	Navicula menisculus var. menisculus	VARIETY
Navicula menisculus var. upsaliensis	Navicula menisculus var. upsaliensis Grunow	VARIETY
Navicula meniscus	Navicula meniscus Schumann	SPECIES
Navicula microcari	Navicula microcari Lange-Bertalot	SPECIES
Navicula microdigitoradiata	Navicula microdigitoradiata Lange-Bertalot	SPECIES
Navicula minima	Navicula minima Grunow, 1880	SPECIES
Navicula minuscula	Navicula minuscula Grunow	SPECIES
Navicula minuscula var. minuscula	Navicula minuscula var. minuscula	VARIETY
Navicula minuscula var. muralis	Navicula minuscula var. muralis (Grunow) Lange-Bertalot, 1981	VARIETY
Navicula minusculoides	Navicula minusculoides Hustedt, 1942	SPECIES
Navicula modica	Navicula modica Hustedt, 1945	SPECIES
Navicula moenofranconica	Navicula moenofranconica Lange-Bertalot	SPECIES
Navicula molestiformis	Navicula molestiformis Hustedt, 1949	SPECIES
Navicula mollicula	Navicula mollicula Hustedt	SPECIES
Navicula mollis	Navicula mollis (W.Smith) Cleve	SPECIES
Navicula monoculata	Navicula monoculata Hustedt, 1945	SPECIES
Navicula monoculata var. monoculata	Navicula monoculata var. monoculata	VARIETY
Navicula monoculata var. omissa	Navicula monoculata var. omissa (Hustedt) Lange-Bertalot, 1985	VARIETY
Navicula moskalii	Navicula moskalii Metzeltin, Witkowski & Lange-Bertalot	SPECIES
Navicula multiconfusa	-	-
Navicula muralibionta	Navicula muralibionta Bock, 1970	SPECIES
Navicula muraliformis	Navicula muraliformis Hustedt, 1949	SPECIES
Navicula muraloides	Navicula muraloides Hustedt	SPECIES
Navicula mutica	Navicula mutica Grunow, 1860	SPECIES
Navicula mutica var. binodis	Navicula mutica Grunow, 1860	SPECIES
Navicula mutica var. mutica	Navicula mutica var. mutica	VARIETY
Navicula mutica var. ventricosa	Navicula mutica var. ventricosa (Kützing) Cleve & Grunow, 1880	VARIETY
Navicula namibica	Navicula namibica Lange-Bertalot & U.Rumrich	SPECIES
Navicula naumannii	Navicula naumanni Hustedt, 1942	SPECIES
Navicula nivalis	Navicula nivalis Ehrenberg, 1853	SPECIES
Navicula nivaloides	Navicula nivaloides W.Bock, 1962	SPECIES
Navicula nolens	Navicula nolens Simonsen	SPECIES
Navicula nolensoides	Navicula nolensoides Bock, 1970	SPECIES
Navicula normaloides	Navicula normaloides Cholnoky	SPECIES
Navicula notha	Navicula notha Wallace	SPECIES
Navicula novaesiberica	Navicula novaesiberica Lange-Bertalot	SPECIES
Navicula oblonga	Navicula oblonga Østrup, 1910	SPECIES
Navicula obsoleta	Navicula obsoleta Hustedt, 1942	SPECIES
Navicula occulta	Navicula occulta Krasske, 1929	SPECIES
Navicula oligotraphenta	Navicula oligotraphenta Lange-Bertalot & G.Hofmann	SPECIES
Navicula opportuna	Navicula opportuna Hustedt	SPECIES
Navicula oppugnata	Navicula oppugnata Hustedt	SPECIES
Navicula ordinaria	Navicula ordinaria Hustedt	SPECIES
Navicula parabryophila	-	-
Navicula paracari	Navicula paracari Lange-Bertalot	SPECIES
Navicula paramutica	Navicula paramutica	SPECIES
Navicula parsura	Navicula parsura Hustedt, 1962	SPECIES
Navicula paul-schulzii	Navicula paul-schulzii Witkowski & Lange-Bertalot	SPECIES
Navicula pavillardii	Navicula pavillardi Hustedt	SPECIES
Navicula pellicola	Navicula pellicola Brockmann	SPECIES
Navicula pelliculosa	Navicula pelliculosa (Kützing) Hilse	SPECIES
Navicula peregrina	Navicula peregrina (Ehrenberg) Kützing	SPECIES
Navicula perminuta	Navicula perminuta Grunow	SPECIES
Navicula permitis	Navicula permitis Hustedt, 1945	SPECIES
Navicula phyllepta	Navicula phyllepta Kützing	SPECIES
Navicula phylleptosoma	Navicula phylleptosoma Lange-Bertalot	SPECIES
Navicula placenta	Navicula placenta (Ehrenberg) Kützing	SPECIES
Navicula placentula	Navicula placentula (Ehrenberg) Kützing, 1844	SPECIES
Navicula platystoma	Navicula platystoma Ehrenberg	SPECIES
Navicula plicata	Navicula plicata Donkin	SPECIES
Navicula porifera	Navicula porifera Hustedt	SPECIES
Navicula porifera var. opportuna	Navicula porifera var. opportuna (Hustedt) Lange-Bertalot	VARIETY
Navicula porifera var. porifera	Navicula porifera var. porifera	VARIETY
Navicula praeterita	Navicula praeterita Hustedt	SPECIES
Navicula protracta	-	-
Navicula pseudanglica	Navicula pseudanglica Lange-Bertalot, 1985	SPECIES
Navicula pseudanglica var. pseudanglica	Navicula pseudanglica Lange-Bertalot, 1985	SPECIES
Navicula pseudanglica var. signata	Navicula pseudanglica var. signata (Hustedt) Lange-Bertalot, 1985	VARIETY
Navicula pseudoarvensis	Navicula pseudoarvensis Hustedt	SPECIES
Navicula pseudobryophila	Navicula pseudobryophila Hustedt	SPECIES
Navicula pseudoforcipata	Navicula pseudoforcipata Hustedt, 1942	SPECIES
Navicula pseudokotschyi	Navicula pseudokotschyi Lange-Bertalot	SPECIES
Navicula pseudolanceolata	Navicula pseudolanceolata Lange-Bertalot	SPECIES
Navicula pseudonivalis	Navicula pseudonivalis Bock	SPECIES
Navicula pseudoscutiformis	Navicula pseudoscutiformis Hustedt, 1930	SPECIES
Navicula pseudosilicula	Navicula pseudosilicula Hustedt	SPECIES
Navicula pseudotuscula	Navicula pseudotuscula Hustedt, 1943	SPECIES
Navicula pseudoventralis	Navicula pseudoventralis Hustedt	SPECIES
Navicula pupula	Navicula pupula Bristol, 1920	SPECIES
Navicula pupula var. aquaeductae	Navicula pupula var. aquaeductae (Krasske) Hust., 1930	VARIETY
Navicula pupula var. mutata	Navicula pupula var. mutata (Krasske) Hustedt, 1930	VARIETY
Navicula pupula var. pseudopupula	Navicula pupula var. pseudopupula (Krasske) Hustedt, 1930	VARIETY
Navicula pupula var. pupula	Navicula pupula var. pupula	VARIETY
Navicula pusilla	Navicula pusilla	SPECIES
Navicula pusilla var. incognita	Navicula pusilla var. incognita (Krasske) Lange-Bertalot, 1985	VARIETY
Navicula pusilla var. lundstroemii	Navicula pusilla var. lundstroemii (Cleve) Lange-Bertalot, 1985	VARIETY
Navicula pusilla var. pusilla	Navicula pusilla var. pusilla	VARIETY
Navicula pusio	Navicula pusio	SPECIES
Navicula pygmaea	Navicula pygmaea Frenguelli, 1923	SPECIES
Navicula radiosa	Navicula radiosa Kützing	SPECIES
Navicula radiosa var. radiosa	Navicula radiosa var. radiosa	VARIETY
Navicula radiosa var. tenella	Navicula radiosa var. tenella (Brébisson ex Kütziny) Grunow	VARIETY
Navicula recens	Navicula recens Lange-Bertalot	SPECIES
Navicula reichardtiana	Navicula reichardtiana Lange-Bertalot	SPECIES
Navicula reichardtiana var. crassa	Navicula reichardtiana var. crassa Lange-Bertalot & G.Hofmann	VARIETY
Navicula reichardtiana var. reichardtiana	Navicula reichardtiana var. reichardtiana	VARIETY
Navicula reinhardtii	Navicula reinhardtii (Grunow) Grunow	SPECIES
Navicula rhynchocephala	Navicula rhynchocephala Kützing	SPECIES
Navicula rhynchotella	Navicula rhynchotella Lange-Bertalot	SPECIES
Navicula ricardae	Navicula ricardae Lange-Bertalot	SPECIES
Navicula riparia	Navicula riparia Hustedt, 1942	SPECIES
Navicula riparia var. mollenhaueri	Navicula riparia Hustedt, 1942	SPECIES
Navicula riparia var. riparia	Navicula riparia Hustedt, 1942	SPECIES
Navicula rostellata	Navicula rostellata Kützing	SPECIES
Navicula rotaeana	Navicula rotaeana (Rabenh.) Grunow	SPECIES
Navicula rotunda	Navicula rotunda Hustedt, 1945	SPECIES
Navicula salinarum	Navicula salinarum Grunow	SPECIES
Navicula salinarum var. minima	Navicula salinarum var. minima Kolbe	VARIETY
Navicula salinarum var. rostrata	Navicula salinarum var. rostrata (Hustedt) Lange-Bertalot	VARIETY
Navicula salinarum var. salinarum	Navicula salinarum var. salinarum	VARIETY
Navicula salinicola	Navicula salinicola Hustedt	SPECIES
Navicula saprophila	Navicula saprophila Lange-Bertalot & Bonik, 1976	SPECIES
Navicula saxophila	Navicula saxophila W.Bock ex Hustedt, 1966	SPECIES
Navicula schadei	Navicula schadei Krasske	SPECIES
Navicula schmassmannii	Navicula schmassmannii Hustedt	SPECIES
Navicula schoenfeldii	Navicula schoenfeldii	SPECIES
Navicula schroeteri	Navicula schroeteri F.Meister	SPECIES
Navicula schroeteri var. schroeteri	Navicula schroeteri var. schroeteri	VARIETY
Navicula schroeteri var. symmetrica	Navicula schroeteri var. symmetrica (Patrick) Lange-Bert.	VARIETY
Navicula scutelloides	Navicula scutelloides W.Smith, 1856	SPECIES
Navicula scutum	Navicula scutum Schumann	SPECIES
Navicula seibigiana	Navicula seibigiana Lange-Bertalot	SPECIES
Navicula semen	Navicula semen Ehrenberg	SPECIES
Navicula semihyalina	Navicula semihyalina Bock, 1970	SPECIES
Navicula seminulum	Navicula seminulum Ehrenberg, 1842	SPECIES
Navicula seminulum var. seminulum	Navicula seminulum var. seminulum	VARIETY
Navicula sieminskiae	Navicula sieminskiae Lange-Bertalot & Witkowski	SPECIES
Navicula silvahercynia	Navicula silvahercynia Lange-Bertalot	SPECIES
Navicula similis	Navicula similis	SPECIES
Navicula simulata	Navicula simulata Manguin, 1942	SPECIES
Navicula slesvicensis	Navicula slesvicensis Grunow	SPECIES
Navicula soehrensis	Navicula soehrensis	SPECIES
Navicula soehrensis var. hassiaca	Navicula soehrensis var. hassiaca (Krasske) Lange-Bertalot, 1985	VARIETY
Navicula soehrensis var. muscicola	Navicula soehrensis var. muscicola (Petersen) Krasske, 1929	VARIETY
Navicula soehrensis var. soehrensis	Navicula soehrensis f. soehrensis	FORM
Navicula soodensis	Navicula soodensis Krasske, 1927	SPECIES
Navicula spicula	Navicula spicula (Hickie) Cleve	SPECIES
Navicula splendicula	Navicula splendicula VanLandingham	SPECIES
Navicula stankovicii	Navicula stankovicii Hustedt	SPECIES
Navicula streckerae	Navicula streckerae Lange-Bertalot & Witkowski	SPECIES
Navicula striolata	Navicula striolata (Grunow) Lange-Bertalot	SPECIES
Navicula stroemii	Navicula stroemii Hustedt, 1931	SPECIES
Navicula stroesei	Navicula stroesei (Østrup) A.Cleve, 1922	SPECIES
Navicula subadnata	Navicula subadnata Hustedt	SPECIES
Navicula subalpina	Navicula subalpina Reichardt	SPECIES
Navicula subconcentrica	Navicula subconcentrica Lange-Bertalot	SPECIES
Navicula subcostulata	Navicula subcostulata	SPECIES
Navicula subhamulata	Navicula subhamulata	SPECIES
Navicula sublucidula	Navicula sublucidula Hustedt, 1950	SPECIES
Navicula subminuscula	Navicula subminuscula (Skvortzov, 2012)	SPECIES
Navicula submolesta	Navicula submolesta Hustedt, 1949	SPECIES
Navicula submuralis	Navicula submuralis Hustedt, 1945	SPECIES
Navicula subocculta	Navicula subocculta Hustedt	SPECIES
Navicula subplacentula	Navicula subplacentula Hustedt, 1930	SPECIES
Navicula subrhynchocephala	Navicula subrhynchocephala Hustedt	SPECIES
Navicula subrotundata	Navicula subrotundata Hustedt	SPECIES
Navicula subseminulum	Navicula subseminulum Hustedt	SPECIES
Navicula subtilissima	Navicula subtilissima Cleve, 1891	SPECIES
Navicula suchlandtii	Navicula suchlandtii Hustedt, 1943	SPECIES
Navicula suecorum var. dismutica	Navicula suecorum var. dismutica (Hustedt) Lange-Bertalot, 1985	VARIETY
Navicula supergregaria	Navicula supergregaria Lange-Bertalot & U.Rumrich	SPECIES
Navicula tenelloides	Navicula tenelloides Hustedt	SPECIES
Navicula tenera	Navicula tenera Hustedt, 1937	SPECIES
Navicula tenerrima	Navicula tenerrima Hustedt, 1937	SPECIES
Navicula tridentula	Navicula tridentula Krasske	SPECIES
Navicula tripunctata	Navicula tripunctata (O.F.Müller) Bory	SPECIES
Navicula trivialis	Navicula trivialis Lange-Bertalot	SPECIES
Navicula trophicatrix	Navicula trophicatrix Lange-Bertalot	SPECIES
Navicula tuscula	Navicula tuscula (Ehrenberg) Van Heurck	SPECIES
Navicula tuscula f. minor	Navicula tuscula f. minor Hust.	FORM
Navicula twymaniana	Navicula twymaniana Archibald, 1966	SPECIES
Navicula umida	Navicula umida Bock, 1963	SPECIES
Navicula upsaliensis	Navicula upsaliensis (Grunow) M.Peragallo	SPECIES
Navicula utermoehlii	Navicula utermoehlii Hustedt, 1942	SPECIES
Navicula vandamii	Navicula vandamii Schoeman & Archibald	SPECIES
Navicula vandamii var. mertensiae	Navicula vandamii var. mertensiae Lange-Bertalot	VARIETY
Navicula vandamii var. vandamii	Navicula vandamii var. vandamii	VARIETY
Navicula vaneei	Navicula vaneei Lange-Bertalot	SPECIES
Navicula variostriata	Navicula variostriata	SPECIES
Navicula vaucheriae	Navicula vaucheriae Petersen, 1915	SPECIES
Navicula venerablis	Navicula venerablis Hohn & Hellerman	SPECIES
Navicula veneta	Navicula veneta Kützing	SPECIES
Navicula ventralis	Navicula ventralis Krasske, 1923	SPECIES
Navicula ventraloconfusa	Navicula ventraloconfusa Lange-Bertalot, 1989	SPECIES
Navicula vilaplanii	Navicula vilaplanii (Lange-Bertalot & Sabater) Lange-Bertalot & Sabater	SPECIES
Navicula viminoides ssp. cosmomarina	Navicula viminoides subsp. cosmomarina Lange-Bertalot, Witkowski, Bogaczewicz-Adamczak & Zgrundo	SUBSPECIES
Navicula viridula - Sippen	Navicula viridula (Kützing) Ehrenberg	SPECIES
Navicula viridula var. germainii	Navicula viridula var. germainii (Wallace) Lange-Bertalot	VARIETY
Navicula viridula var. linearis	Navicula viridula var. linearis Hustedt	VARIETY
Navicula viridula var. rostellata	Navicula viridula var. rostellata (Kützing) Cleve	VARIETY
Navicula viridula var. viridula	Navicula viridula var. viridula	VARIETY
Navicula viridulacalcis	Navicula viridulacalcis Lange-Bertalot	SPECIES
Navicula vitabunda	Navicula vitabunda Hustedt, 1930	SPECIES
Navicula vitiosa	Navicula vitiosa Schimanski, 1978	SPECIES
Navicula vixnegligenda	-	-
Navicula vulpina	Navicula vulpina Kützing	SPECIES
Navicula weinzierlii	Navicula weinzierlii H.Schimanski, 1975	SPECIES
Navicula wellneri	Navicula wellneri Lange-Bertalot, 1987	SPECIES
Navicula wendlingii	Navicula wendlingii Lange-Bert., G.Hofm. & Van de Vijver, 2009	SPECIES
Navicula wiesneri	Navicula wiesneri Lange-Bertalot	SPECIES
Navicula wildii	Navicula wildii Lange-Bertalot	SPECIES
Navicula witkowskii	Navicula witkowskii Lange-Bertalot, Iserentant & Metzeltin	SPECIES
Navicula wygaschii	Navicula wygaschii Lange-Bertalot	SPECIES
Navicula zeta	Navicula zeta Cleve	SPECIES
Naviculadicta	Naviculadicta H.Lange-Bertalot, 1994	GENUS
Naviculadicta absoluta	Naviculadicta absoluta (Hust.) Lange-Bert.	SPECIES
Naviculadicta bremensiformis	Naviculadicta bremensiformis Lange-Bertalot, 1996	SPECIES
Naviculadicta cosmopolitana	Naviculadicta cosmopolitana Lange-Bertalot, 2000	SPECIES
Naviculadicta digituloides	Naviculadicta digituloides Lange-Bertalot, 1996	SPECIES
Naviculadicta elorantana	Naviculadicta elorantana Lange-Bertalot, 1996	SPECIES
Naviculadicta geisslerae	Naviculadicta geisslerae (Jahn) Jahn, 1994	SPECIES
Naviculadicta jurafontinalis	Naviculadicta jurafontinalis H.Lange-Bertalot & M.Werum, 2004	SPECIES
Naviculadicta multiconfusa	Naviculadicta multiconfusa Lange-Bertalot, 1996	SPECIES
Naviculadicta obdurata	Naviculadicta obdurata (Hohn & Hellermann) Lange-Bertalot & Metzeltin, 1996	SPECIES
Naviculadicta pauxilla	Naviculadicta H.Lange-Bertalot, 1994	GENUS
Naviculadicta raederae	Naviculadicta raederae Lange-Bert.	SPECIES
Naviculadicta schaumburgii	Naviculadicta schaumburgii H.Lange-Bertalot & G.Hofmann, 2004	SPECIES
Naviculadicta stauroneioides	Naviculadicta stauroneioides Lange-Bertalot, 1996	SPECIES
Naviculadicta vaucheriae	Naviculadicta vaucheriae (J.B.Petersen) Lange-Bertalot, 1994	SPECIES
Naviculadicta vitabunda	Naviculadicta vitabunda (Hustedt) Lange-Bertalot, 1994	SPECIES
Navicymbula pusilla	Navicymbula pusilla (Grunow) K.Krammer, 2003	SPECIES
Navigiolum	-	-
Navigiolum canoris	Navigiolum canoris (Hohn & Hellerman) Lange-Bertalot, 2003	SPECIES
Navigiolum exiliforme	Navigiolum exiliforme (Reichardt) H.Lange-Bertalot, 2003	SPECIES
Neidiopsis	Neidiopsis H.Lange-Bertalot & D.Metzeltin, 1999	GENUS
Neidiopsis levanderi	Neidiopsis levanderi (Hustedt) Lange-Bertalot & Metzeltin, 1999	SPECIES
Neidiopsis levanderi var. capitata	Neidiopsis levanderi var. capitata (Krasske) H.Lange-Bertalot, 1999	VARIETY
Neidiopsis levanderi var. levanderi	Neidiopsis levanderi (Hustedt) Lange-Bertalot & Metzeltin, 1999	SPECIES
Neidium	Neidium E.Pfitzer, 1871	GENUS
Neidium affine	Neidium affine (Ehrenberg) Pfizer, 1871	SPECIES
Neidium affine var. affine	Neidium affine var. affine	VARIETY
Neidium affine var. longiceps	Neidium affine var. longiceps (W.Greg.) Cleve	VARIETY
Neidium alpinum	Neidium alpinum Hustedt, 1943	SPECIES
Neidium ampliatum	Neidium ampliatum (Ehrenberg) Krammer, 1985	SPECIES
Neidium binodeforme	Neidium binodeforme Krammer, 1985	SPECIES
Neidium binodis	Neidium binodis (Ehrenberg) Hustedt, 1945	SPECIES
Neidium bisulcatum	Neidium bisulcatum Lagerst.	SPECIES
Neidium bisulcatum var. bisulcatum	Neidium bisulcatum var. bisulcatum	VARIETY
Neidium bisulcatum var. subampliatum	Neidium bisulcatum var. subampliatum Krammer, 1985	VARIETY
Neidium carteri	Neidium carterii Krammer, 1975	SPECIES
Neidium densestriatum	Neidium densestriatum (Østrup) Krammer, 1985	SPECIES
Neidium dilatatum	Neidium dilatatum (Ehrenberg) Cleve, 1894	SPECIES
Neidium distincte-punctatum	Neidium distincte-punctatum Hustedt, 1922	SPECIES
Neidium dubium	Neidium dubium (Ehenberg) Cleve, 1894	SPECIES
Neidium elongatum	Neidium elongatum (Hustedt) H.Lange-Bertalot, D.Metzeltin & Krammer, 1996	SPECIES
Neidium hercynicum	Neidium hercynicum Mayer, 1917	SPECIES
Neidium iridis	Neidium iridis (Ehrenberg) Cleve, 1894	SPECIES
Neidium javanicum	Neidium javanicum Hustedt, 1938	SPECIES
Neidium kozlowii	Neidium kozlowi Mereschkowsky, 1906	SPECIES
Neidium kozlowii var. ellipticum	Neidium kozlowi var. elliptica Mereschkowsky, 1906	VARIETY
Neidium kozlowii var. kozlowii	Neidium kozlowi var. kozlowi	VARIETY
Neidium ladogense	Neidium ladogense (Cleve) Foged, 1952	SPECIES
Neidium longiceps	Neidium longiceps (Gregory) Cleve-Euler, 1955	SPECIES
Neidium minutissimum	Neidium minutissimum Cleve-Euler, 1934	SPECIES
Neidium opulentum	Neidium opulentum Hustedt, 1939	SPECIES
Neidium paraffine	Neidium paraffine H.Lange-Bertalot, P.Cavacini, N.Tagliaventi & S.Alfinito, 2003	SPECIES
Neidium perforatum	Neidium perforatum Schimanski, 1973	SPECIES
Neidium productum	Neidium productum (W.Smith) Cleve, 1894	SPECIES
Neidium productum var. constrictum	Neidium productum var. constrictum Hustedt, 1914	VARIETY
Neidium productum var. productum	Neidium productum var. productum	VARIETY
Neidium septentrionale	Neidium septentrionale Cleve-Euler	SPECIES
Neidium vernale	Neidium vernale (Reichelt) Metzeltin & Lange-Bertalot, 2007	SPECIES
Nitzschia	-	-
Nitzschia abbreviata	Nitzschia abbreviata Hustedt, 1924	SPECIES
Nitzschia acicularioides	Nitzschia acicularioides Archibald, 1966	SPECIES
Nitzschia acicularis - Formenkreis	Nitzschia acicularis Frenguelli, 1923	SPECIES
Nitzschia acicularis var. acicularis	Nitzschia acicularis var. acicularis	VARIETY
Nitzschia acicularis var. closterioides	Nitzschia acicularis var. closterioides Grunow, 1862	VARIETY
Nitzschia acidoclinata	Nitzschia acidoclinata Lange-Bertalot, 1976	SPECIES
Nitzschia acula	Nitzschia acula (Kützing) Hantzsch, 1861	SPECIES
Nitzschia acuminata	Nitzschia acuminata (W.Smith) Grunow, 1880	SPECIES
Nitzschia adamata	Nitzschia adamata Hustedt, 1957	SPECIES
Nitzschia aequorea	Nitzschia aequorea Hustedt, 1939	SPECIES
Nitzschia aerophila	Nitzschia aerophila Hustedt, 1942	SPECIES
Nitzschia aestuarii	Nitzschia aestuarii	SPECIES
Nitzschia agnewii	Nitzschia agnewii Cholnoky, 1962	SPECIES
Nitzschia agnita	Nitzschia agnita Hustedt, 1957	SPECIES
Nitzschia alicae	Nitzschia alicae Hlúbiková & Ector, 2009	SPECIES
Nitzschia alpina	Nitzschia alpina Hustedt, 1943	SPECIES
Nitzschia alpinobacillum	Nitzschia alpinobacillum Lange-Bertalot, 1993	SPECIES
Nitzschia amphibia	Nitzschia amphibia Grunow, 1862	SPECIES
Nitzschia amplectens	Nitzschia amplectens Hustedt, 1957	SPECIES
Nitzschia angustata	Nitzschia angustata	SPECIES
Nitzschia angustatula	Nitzschia angustatula Lange-Bertalot, 1987	SPECIES
Nitzschia angustiforaminata	Nitzschia angustiforaminata Lange-Bert.	SPECIES
Nitzschia aniae	Nitzschia aniae Lange-Bertalot, 1993	SPECIES
Nitzschia apiculata	Nitzschia apiculata	SPECIES
Nitzschia archibaldii	Nitzschia archibaldii Lange-Bertalot, 1980	SPECIES
Nitzschia arcuata	Nitzschia arcuata Gregory, 1859	SPECIES
Nitzschia aremonica	Nitzschia aremonica Archibald, 1983	SPECIES
Nitzschia aurariae	Nitzschia aurariae Cholnoky, 1965	SPECIES
Nitzschia bacillariaeformis	Nitzschia bacillariaeformis Hustedt, 1922	SPECIES
Nitzschia bacilliformis	Nitzschia bacilliformis Hustedt, 1922	SPECIES
Nitzschia bacillum	Nitzschia bacillum Hustedt, 1922	SPECIES
Nitzschia bavarica	Nitzschia bavarica Hustedt, 1953	SPECIES
Nitzschia behrei	Nitzschia behrei Hustedt, 1959	SPECIES
Nitzschia bergii	Nitzschia bergii A.Cleve, 1953	SPECIES
Nitzschia beyeri	Nitzschia beyeri Lange-Bertalot, 2004	SPECIES
Nitzschia bilobata	Nitzschia bilobata W.Smith, 1853	SPECIES
Nitzschia bremensis	Nitzschia bremensis Hustedt, 1930	SPECIES
Nitzschia brevissima	Nitzschia brevissima Grunow, 1880	SPECIES
Nitzschia brunoi	Nitzschia brunoi Lange-Bertalot, 1996	SPECIES
Nitzschia bryophila	Nitzschia bryophila Petersen	SPECIES
Nitzschia bulnheimiana	Nitzschia bulnheimiana (Rabenhorst) H.L.Smith, 1874-1879	SPECIES
Nitzschia calida	Nitzschia calida Grunow	SPECIES
