taxa	harmonized_name	rank
Lindavia radiosa	Lindavia radiosa (Grunow) De Toni & Forti, 1900	SPECIES
Luticola terminata	Luticola terminata (Hustedt) J.R.Johansen, 2004	SPECIES
Luticola minor	Luticola minor (R.M.Patrick) Mayama	SPECIES
Luticola undulata f. anormale	Luticola undulata (Hilse) D.G.Mann, 1990	SPECIES
Luticola ventriconfusa	Luticola ventriconfusa Lange-Bertalot, 2003	SPECIES
Luticola ventricosa	Luticola ventricosa (Kützing) D.G.Mann, 1990	SPECIES
Mayamaea atomus var. alcimonica	Mayamaea atomus var. alcimonica (Reichardt) Reichardt, 1997	VARIETY
Mayamaea atomus	Mayamaea atomus (Kützing) Lange-Bertalot, 1997	SPECIES
Mayamaea excelsa	Mayamaea excelsa (Krasske) Lange-Bertalot, 1997	SPECIES
Mayamaea fossalis	Mayamaea fossalis (Krasske) Lange-Bertalot, 1997	SPECIES
Mayamaea agrestis	Mayamaea agrestis (Hustedt) Lange-Bertalot, 2001	SPECIES
Mayamaea alcimonica	Mayamaea alcimonica (E.Reichardt) C.E.Wetzel, Barragán & Ector	SPECIES
Melosira ambigua	Melosira ambigua (Grunow) O.F.Müller, 1904	SPECIES
Meridion anceps	Meridion anceps (Ehrenberg) D.M.Williams, 1985	SPECIES
Mayamaea atomus var. permitis	Mayamaea atomus var. permitis (Hustedt) Lange-Bertalot, 1997	VARIETY
Mayamaea atomus var. permitis terato	Mayamaea atomus var. permitis (Hustedt) Lange-Bertalot, 1997	VARIETY
Melosira arenaria	Melosira arenaria	SPECIES
Mayamaea asellus	Mayamaea asellus (Weinhold) Lange-Bertalot, 1997	SPECIES
Melosira binderana	Melosira binderana Kützing, 1844	SPECIES
Meridion circulare var. constrictum	Meridion circulare var. constrictum	VARIETY
Meridion circulare	Meridion circulare (Greville) C.Agardh, 1831	SPECIES
Meridion constrictum	Meridion constrictum	SPECIES
Melosira crenulata	Melosira crenulata Cleve & Möller	SPECIES
Meridion circulare terato	Meridion circulare (Greville) C.Agardh, 1831	SPECIES
Melosira crenulata var. valida	Melosira crenulata var. valida Grunow, 1882	VARIETY
Melosira distans var. africana	Melosira distans var. africana O.Müller, 1904	VARIETY
Melosira distans var. alpigena	Melosira distans var. alpigena Grunow, 1882	VARIETY
Melosira distans var. helvetica	Melosira distans var. helvetica Hustedt, 1943	VARIETY
Melosira distans	Melosira distans	SPECIES
Melosira distans var. lirata	Melosira distans var. lirata (Ehrenberg) VanLandingham, 1971	VARIETY
Melosira distans var. lirata f. seriata	Bacillariophyceae	CLASS
Melosira distans var. nivalis	Melosira distans var. nivalis (W.Smith) Kirchner, 1878	VARIETY
Melosira distans var. pfaffiana	Melosira distans var. pfaffiana (Reinsch) Grunow, 1878	VARIETY
Melosira granulata var. angustissima f. curvata	Melosira granulata f. curvata Baranov, 1948	FORM
Melosira granulata var. angustissima	Melosira granulata var. angustissima Otto Müller, 1899	VARIETY
Melosira granulata var. curvata	Melosira granulata var. curvata Grunow, 1882	VARIETY
Melosira granulata f. curvata	Melosira granulata f. curvata Baranov, 1948	FORM
Melosira granulata var. muzzanensis	Melosira granulata var. muzzanensis (Meister) Hust., 1930	VARIETY
Melosira granulata	Melosira granulata Otto Müller, 1903	SPECIES
Melosira granulata f. intermedia	Melosira granulata f. intermedia Manguin, 1952	FORM
Melosira italica var. bacilligera	Melosira italica f. bacilligera Otto Müller, 1904	FORM
Melosira italica f. crenulata	Melosira italica f. crenulata (Ehrenberg) Otto Müller, 1906	FORM
Melosira italica var. hankensis	Melosira italica var. hankensis Skvortzow, 1929	VARIETY
Melosira italica var. multistriata	Melosira italica var. multistriata Patrick, 1940	VARIETY
Mayamaea ingenua	Mayamaea ingenua (Hust.) Lange-Bert. & Hofmann, 2011	SPECIES
Melosira italica var. pachyderma	Melosira italica var. pachyderma Krieger, 1929	VARIETY
Melosira italica var. perminuta	Melosira italica var. perminuta Cleve-Euler, 1951	VARIETY
Melosira italica var. plicatella	Melosira italica var. plicatella Otto Müller, 1904	VARIETY
Melosira italica ssp. subarctica	Melosira italica subsp. subarctica Otto Müller, 1906	SUBSPECIES
Melosira italica var. subborealis	Melosira italica var. subborealis Nygaard, 1956	VARIETY
Melosira islandica f. curvata	Melosira islandica f. curvata O.Müll., 1906	FORM
Melosira islandica	Melosira islandica Cleve-Euler, 1938	SPECIES
Melosira italica	Melosira italica Komarenko, 1956	SPECIES
Melosira italica f. curvata	Melosira italica f. curvata (Pantocsek) Skabichevskii, 1960	FORM
Melosira italica var. tenuissima	Melosira italica var. tenuissima (Grunow) O.Müller.	VARIETY
Melosira italica var. valida	Melosira italica var. valida (Grunow) Husted, 1927	VARIETY
Melosira japonica	Melosira japonica F.Meister, 1913	SPECIES
Mayamaea lacunolaciniata	Mayamaea lacunolaciniata (Lange-Bertalot & K.Bonik) Lange-Bertalot, 1997	SPECIES
Martyana martyi	Martyana martyi (Héribaud-Joseph) Round, 1990	SPECIES
Melosira nummuloides	Melosira nummuloides W.Smith	SPECIES
Melosira oestrupii	Melosira oestrupi Cleve-Euler, 1910	SPECIES
Mayamaea permitis	Mayamaea permitis (Hustedt) K.Bruder & L.K.Medlin, 2008	SPECIES
Melosira pusilla	Melosira pusilla F.Meister, 1913	SPECIES
Mayamaea recondita	Mayamaea recondita (Hustedt) Lange-Bertalot, 1997	SPECIES
Melosira sulcata	Melosira sulcata (Ehrenberg) Kützing, 1844	SPECIES
Melosira varians	Melosira varians C.Agardh, 1827	SPECIES
Nitzschia amphibia var. acutiuscula	Nitzschia amphibia var. acutiuscula Grunow, 1880	VARIETY
Nitzschia acicularis terato	Nitzschia acicularis Frenguelli, 1923	SPECIES
Navicula atomus var. alcimonica	Navicula atomus var. alcimonica Reichardt, 1984	VARIETY
Navicula amphiceropsis	Navicula amphiceropsis Lange-Bertalot & U.Rumrich	SPECIES
Navicula angusta	Navicula angusta Grunow	SPECIES
Navicula absoluta	Navicula absoluta Hustedt, 1950	SPECIES
Nitzschia acidoclinata	Nitzschia acidoclinata Lange-Bertalot, 1976	SPECIES
Navicula acephala	Navicula acephala Héribaud, 1903	SPECIES
Nitzschia acicularis	Nitzschia acicularis Frenguelli, 1923	SPECIES
Navicula accomoda	Navicula accommoda Hustedt, 1950	SPECIES
Nitzschia acula	Nitzschia acula (Kützing) Hantzsch, 1861	SPECIES
Navicula arvensis var. dubia	Navicula arvensis var. dubia Lange-Bertalot, 1987	VARIETY
Navicula adversa	Navicula adversa Krasske	SPECIES
Navicula atomus var. excelsa	Navicula atomus var. excelsa (Krasske) Lange-Bertalot, 1985	VARIETY
Nitzschia amphibia var. fossilis	Nitzschia amphibia var. fossilis Grunow, 1880	VARIETY
Nitzschia angustatula terato	Nitzschia angustatula Lange-Bertalot, 1987	SPECIES
Navicula aggerica	Navicula aggerica Reichardt	SPECIES
Nitzschia angustiforaminata	Nitzschia angustiforaminata Lange-Bert.	SPECIES
Navicula anglophila	Navicula anglophila Lange-Bertalot, 1987	SPECIES
Nitzschia agnita	Nitzschia agnita Hustedt, 1957	SPECIES
Navicula agrestis	Navicula agrestis Hustedt	SPECIES
Nitzschia agnewii	Nitzschia agnewii Cholnoky, 1962	SPECIES
Nitzschia amphiplectans	Nitzschia amphiplectans Hustedt	SPECIES
Navicula ignota var. anglica	Navicula ignota var. anglica J.W.G.Lund, 1946	VARIETY
Navicula ignorata	Navicula ignorata Schimanski, 1978	SPECIES
Nitzschia alexandrina	Nitzschia alexandrina (Cholnoky) Lange-Bertalot & Simonsen, 1978	SPECIES
Nitzschia actinastroides var. ligeriensis	Nitzschia actinastroides (Lemmermann) van Goor, 1925	SPECIES
Neidium alpinum	Neidium alpinum Hustedt, 1943	SPECIES
Navicula arvensis var. maior	Navicula arvensis var. major Lange-Bertalot, 1985	VARIETY
Navicula amabilis	Navicula amabilis Hustedt	SPECIES
Nitzschia amplectens	Nitzschia amplectens Hustedt, 1957	SPECIES
Nitzschia accommodata	Nitzschia accommodata Hustedt, 1949	SPECIES
Navicula anglica var. minuta	Navicula anglica var. minuta Cleve	VARIETY
Neidium amphirhynchus var. majus	Neidium amphirhynchus var. majus (Cleve) Meister, 1912	VARIETY
Nitzschia amphibia	Nitzschia amphibia Grunow, 1862	SPECIES
Navicula antonii	Navicula antonii Lange-Bertalot	SPECIES
Navicula antonii terato	Navicula antonii Lange-Bertalot	SPECIES
Navicula paludosa	Navicula paludosa Hustedt, 1957	SPECIES
Navicula atomus var. permitis	Navicula atomus var. permitis (Hustedt) Lange-Bertalot, 1985	VARIETY
Nitzschia apiculata	Nitzschia apiculata	SPECIES
Navicula pseudotenera	Navicula pseudotenera Manguin, 1962	SPECIES
Navicula aquaedurae	Navicula aquaedurae Lange-Bertalot	SPECIES
Nitzschia arcuata	Nitzschia arcuata Gregory, 1859	SPECIES
Navicula arenaria	Navicula arenaria Donkin	SPECIES
Navicula arvensis	Navicula arvensis Hustedt	SPECIES
Navicula sp.1	-	-
Navicula asellus	Navicula asellus Weinhold ex Hustedt, 1934	SPECIES
Nitzschia actinastroides	Nitzschia actinastroides (Lemmermann) van Goor, 1925	SPECIES
Navicula acceptata	Navicula acceptata Hustedt, 1950	SPECIES
Nitzschia amphibia terato	Nitzschia amphibia Grunow, 1862	SPECIES
Navicula atomus	Navicula atomus	SPECIES
Navicula atomus var. recondita	Navicula atomus var. recondita (Hustedt) Lange-Bertalot, 1985	VARIETY
Navicula auriculata	Navicula auriculata Hustedt, 1944	SPECIES
Nitzschia aurariae	Nitzschia aurariae Cholnoky, 1965	SPECIES
Navicula arcus	Navicula arcus Ehrenberg, 1836	SPECIES
Navicula avenacea	Navicula avenacea (Rabenh.) Brébisson ex Grunow	SPECIES
Navicula bacillum	Navicula bacillum Ehrenberg, 1839	SPECIES
Nitzschia bavarica	Nitzschia bavarica Hustedt, 1953	SPECIES
Navicula biconica	Navicula biconica Patrick, 1959	SPECIES
Navicula bicapitellata	Navicula bicapitellata Hustedt	SPECIES
Navicula bacillaris	Naviculales	ORDER
Navicula brachysira	Navicula brachysira Brébisson ex Rabenhorst, 1853	SPECIES
Neidium binodis	Neidium binodis (Ehrenberg) Hustedt, 1945	SPECIES
Neidium bisulcatum	Neidium bisulcatum Lagerst.	SPECIES
Nitzschia balcanica	Nitzschia balcanica Hustedt, 1945	SPECIES
Nitzschia balatonis	Nitzschia balatonis Grunow, 1880	SPECIES
Nitzschia boliviana	Nitzschia boliviana E.A.Morales & M.L.Vis, 2007	SPECIES
Navicula blazencicae	Navicula blazencicae Z.Levkov & S.Krstic, 2007	SPECIES
Nitzschia bremensis	Nitzschia bremensis Hustedt, 1930	SPECIES
Navicula binodis	Navicula binodis Ehrenberg, 1840	SPECIES
Neidium binodeforme	Neidium binodeforme Krammer, 1985	SPECIES
Nitzschia brunoi	Nitzschia brunoi Lange-Bertalot, 1996	SPECIES
Nitzschia brevissima	Nitzschia brevissima Grunow, 1880	SPECIES
Nitzschia bergii	Nitzschia bergii A.Cleve, 1953	SPECIES
Navicula bremensis	Navicula bremensis Hustedt, 1957	SPECIES
Navicula bryophila	Navicula bryophila Østrup	SPECIES
Navicula biseriata	Navicula biseriata Brockmann, 1952	SPECIES
Nitzschia brevissima terato	Nitzschia brevissima Grunow, 1880	SPECIES
Nitzschia bulnheimiana terato	Nitzschia bulnheimiana (Rabenhorst) H.L.Smith, 1874-1879	SPECIES
Navicula bryophiloides	Navicula bryophiloides Manguin, 1962	SPECIES
Navicula cari var. angusta	Navicula cari var. angusta (Grunow) Grunow	VARIETY
Navicula catalanogermanica terato	Navicula catalanogermanica Lange-Bertalot & G.Hofmann	SPECIES
Navicula cuspidata var. ambigua	Navicula cuspidata var. ambigua (Ehrenb.) Cleve	VARIETY
Navicula capitata	Navicula capitata Fontell, 1917	SPECIES
Navicula cari	Navicula cari Ehrenberg	SPECIES
Navicula catalanogermanica	Navicula catalanogermanica Lange-Bertalot & G.Hofmann	SPECIES
Navicula contenta var. biceps	Navicula contenta var. biceps (Grunow) Van Heurck, 1885	VARIETY
Navicula cincta var. cari	Navicula cincta var. cari (Ehrenberg) Cleve, 1895	VARIETY
Navicula concentrica	Navicula concentrica Carter	SPECIES
Navicula caduca	Navicula caduca Hustedt	SPECIES
Navicula certa	Navicula certa F.Meister	SPECIES
Navicula cryptocephala var. exilis	Navicula cryptocephala var. exilis (Kützing) Grunow	VARIETY
Navicula cryptofallax	Navicula cryptofallax Lange-Bertalot & G.Hofmann	SPECIES
Nitzschia confinis	Nitzschia confinis Hustedt, 1949	SPECIES
Navicula cryptotenelloides terato	Navicula cryptotenelloides Lange-Bertalot	SPECIES
Nitzschia chasei	Nitzschia chasei Choln., 1954	SPECIES
Nitzschia chutteri	Nitzschia chutteri Archibald, 1966	SPECIES
Navicula capitata var. hungarica	Navicula capitata var. hungarica (Grunow) R.Ross, 1947	VARIETY
Navicula cincta var. angusta	Navicula cincta var. angusta	VARIETY
Navicula cinctaeformis	Navicula cinctaeformis Hustedt	SPECIES
Navicula cincta var. heufleri	Navicula cincta var. heufleri (Grunow) Grunow, 1880	VARIETY
Navicula cincta var. leptocephala	Navicula cincta var. leptocephala Kutzing ex Grunow	VARIETY
Navicula cincta	Navicula cincta (Ehrenberg) Ralfs	SPECIES
Navicula citrus	Navicula citrus Krasske	SPECIES
Nitzschia clausii	Nitzschia clausii Hantzsch, 1860	SPECIES
Navicula clementioides	Navicula clementioides Hustedt, 1944	SPECIES
Navicula clementis	Navicula clementis Grun., 1882	SPECIES
Navicula cloacina	Navicula cloacina Lange-Bertalot & Bonik, 1976	SPECIES
Navicula capitata var. lueneburgensis	Navicula capitata var. lueneburgensis (Grunow) Patrick, 1966	VARIETY
Navicula cryptolyra	Navicula cryptolyra Brockmann, 1950	SPECIES
Navicula comperei	Navicula comperei Coste & Ricard, 1982	SPECIES
Navicula creuzburgensis var. multistriata	Navicula creuzburgensis var. multistriata Patrick	VARIETY
Navicula confervacea f. nipponica	Navicula confervacea f. nipponica Skvortzov, 1936	FORM
Navicula canoris	Navicula canoris M.H.Hohn & Hellerman, 1963	SPECIES
Navicula carniolensis	Navicula carniolensis Hustedt, 1945	SPECIES
Navicula cocconeiformis	Navicula cocconeiformis Gregory ex Greville, 1855	SPECIES
Navicula confervacea	Navicula confervacea (Kützing) Grunow, 1880	SPECIES
Navicula cohnii	Navicula cohnii (Hilse) Lange-Bertalot, 1985	SPECIES
Nitzschia communis	Nitzschia communis Rabenhorst, 1860	SPECIES
Navicula contenta	Navicula contenta Grunow ex Van Heurck	SPECIES
Navicula costulata	Navicula costulata	SPECIES
Nitzschia constricta	Tryblionella W.Smith, 1853	GENUS
Nitzschia coutei	Nitzschia coutei Maillard, 1978	SPECIES
Nitzschia capensis	Nitzschia capensis Cholnoky, 1959	SPECIES
Navicula capitatoradiata terato	Navicula capitatoradiata Germain	SPECIES
Nitzschia capitellata	Nitzschia capitellata Hustedt, 1922	SPECIES
Navicula capitatoradiata	Navicula capitatoradiata Germain	SPECIES
Nitzschia compressa	Nitzschia compressa (Bailey) C.S.Boyer, 1916	SPECIES
Navicula cocconeiformis f. parva	Navicula cocconeiformis f. parva	FORM
Navicula cuspidata f. craticula	Navicula cuspidata f. craticula Otto Müller, 1899	FORM
Navicula cari var. recens	Navicula cari var. recens Lange-Bertalot, 1980	VARIETY
Navicula cryptocephala	Navicula cryptocephala Kützing	SPECIES
Navicula creuzburgensis	Navicula creuzburgensis Krasske, 1927	SPECIES
Navicula cryptocephala var. subsalina	Navicula cryptocephala var. subsalina Hustedt, 1925	VARIETY
Navicula constans	Navicula constans	SPECIES
Navicula cryptotenella	Navicula cryptotenella Lange-Bertalot	SPECIES
Navicula cryptotenella terato	Navicula cryptotenella Lange-Bertalot	SPECIES
Navicula cryptocephala f. terrestris	Navicula cryptocephala f. terrestris Lund	FORM
Navicula clementis var. linearis	Navicula clementis var. linearis Brander ex Hustedt, 1953	VARIETY
Navicula cryptocephala var. intermedia	Navicula cryptocephala var. intermedia Grunow, 1880	VARIETY
Nitzschia capitellata var. tenuirostris	Nitzschia capitellata var. tenuirostris (Grunow) Bukhtiyarova, 1995	VARIETY
Navicula cryptotenelloides	Navicula cryptotenelloides Lange-Bertalot	SPECIES
Navicula carstensenii	Navicula carstensenii Foged, 1966	SPECIES
Navicula cataracta-rheni	Navicula cataracta-rheni Lange-Bertalot	SPECIES
Navicula caterva	Navicula caterva Hohn & Hellerman	SPECIES
Navicula cuspidata var. heribaudii	Navicula cuspidata var. heribaudi Heribaud	VARIETY
Navicula cuspidata	Navicula cuspidata Otto Müller, 1899	SPECIES
Navicula cari var. cincta	Navicula cari var. cincta (Ehrenberg) Lange-Bertalot, 1980	VARIETY
Navicula cryptocephala var. veneta	Navicula cryptocephala var. veneta (Kützing) Rabenh.	VARIETY
Navicula cymbula	Navicula cymbula Donkin	SPECIES
Navicula cryptocephala var. perminuta	Navicula cryptocephala var. perminuta (Grunow) Cleve, 1895	VARIETY
Naviculadicta absoluta	Naviculadicta absoluta (Hust.) Lange-Bert.	SPECIES
Neidiomorpha binodeformis	Neidiomorpha binodeformis (K.Krammer) M.Cantonati, Lange-Bertalot & N.Angeli, 2010	SPECIES
Navicula dulcis	Navicula dulcis Krasske	SPECIES
Navicula declivis	Navicula declivis Hustedt, 1934	SPECIES
Naviculadicta cosmopolitana	Naviculadicta cosmopolitana Lange-Bertalot, 2000	SPECIES
Navicula dicephala f. cuneata	Navicula dicephala f. cuneata M.Møller ex Foged, 1977	FORM
Nitzschia diducta	Nitzschia diducta Hustedt, 1938	SPECIES
Nitzschia denticula var. delognei	Nitzschia denticula var. delognei Grunow, 1881	VARIETY
Nitzschia debilis	Nitzschia debilis Pantocsek, 1902	SPECIES
Navicula decussis	Navicula decussis Østrup, 1910	SPECIES
Navicula demissa	Navicula demissa Hustedt	SPECIES
Nitzschia denticula	Nitzschia denticula Grunow, 1880	SPECIES
Nitzschia desertorum	Nitzschia desertorum Hustedt, 1949	SPECIES
Navicula digitoconvergens	Navicula digitoconvergens Lange-Bertalot	SPECIES
Navicula digitoradiata var. rostrata	Navicula digitoradiata var. rostrata Hustedt, 1939	VARIETY
Navicula dicephala var. elginensis	Navicula dicephala var. elginensis (W.Greg.) Cleve	VARIETY
Navicula difficillima	Navicula difficillima Hustedt	SPECIES
Navicula digitoradiata	Navicula digitoradiata (Gregory) Ralfs	SPECIES
Nitzschia dissipata	Nitzschia dissipata Lange-Bertalot, 1996	SPECIES
Navicula diserta	Navicula diserta Hustedt	SPECIES
Nitzschia delognei	Nitzschia delognei Grunow, 1880	SPECIES
Neidiomorpha binodis	Neidiomorpha binodis (Ehrenberg) M.Cantonati, Lange-Bertalot & N.Angeli, 2010	SPECIES
Nitzschia dissipata var. media	Nitzschia dissipata var. media (Hantzsch) Grunow, 1881	VARIETY
Navicula digitoradiata var. minima	Navicula digitoradiata var. minima A.Cleve, 1953	VARIETY
Navicula digitoradiata var. minor	Navicula digitoradiata var. minor Krasske, 1938	VARIETY
Navicula parabryophila	-	-
Nitzschia disputata	Nitzschia disputata J.R.Carter, 1971	SPECIES
Naviculadicta pseudoventralis	Naviculadicta pseudoventralis (Hust.) Lange-Bert.	SPECIES
Nitzschia draveillensis	Nitzschia draveillensis Coste & Ricard, 1980	SPECIES
Navicula densestriata	Navicula densestriata Hustedt	SPECIES
Neidium densestriatum	Neidium densestriatum (Østrup) Krammer, 1985	SPECIES
Nitzschia dissipata terato	Nitzschia dissipata Lange-Bertalot, 1996	SPECIES
Nitzschia dubia	Nitzschia dubia W.Smith, 1853	SPECIES
Naviculadicta ventraloconfusa	Naviculadicta ventraloconfusa (Lange-Bertalot) Lange-Bertalot, 1994	SPECIES
Naviculadicta vitabunda	Naviculadicta vitabunda (Hustedt) Lange-Bertalot, 1994	SPECIES
Neidium affine var. amphirhynchus	Neidium affine var. amphirhynchus (Ehrenb.) Cleve	VARIETY
Neidium affine	Neidium affine (Ehrenberg) Pfizer, 1871	SPECIES
Neidium affine var. linearis	Neidium affine var. linearis Foged, 1981	VARIETY
Neidium ampliatum	Neidium ampliatum (Ehrenberg) Krammer, 1985	SPECIES
Neidium alpinum var. quadripunctatum	Neidium alpinum var. quadripunctatum (Hustedt) Hamilton, 1990	VARIETY
Neidium amphirhynchus	Neidium amphirhynchus	SPECIES
Neidium iridis var. subampliatum f. triundulata	Neidium iridis f. triundulata Cleve-Euler, 1932	FORM
Neidium affine var. undulata	Neidium affine f. undulata Hustedt, 1914	FORM
Navicula elginensis var. cuneata	Navicula elginensis var. cuneata Kobayasi, 1975	VARIETY
Navicula eidrigiana	Navicula eidrigiana Carter	SPECIES
Neidium dilatatum var. robusta	Neidium dilatatum var. robusta Molder, 1939	VARIETY
Nitzschia epithemoides var. disputata	Nitzschia epithemoides var. disputata (J.R.Carter) Lange-Bertalot, 1987	VARIETY
Neidium dubium	Neidium dubium (Ehenberg) Cleve, 1894	SPECIES
Navicula exiguiformis f. capitata	Navicula exiguiformis f. capitata Hustedt, 1944	FORM
Neidium iridis var. ampliata	Neidium iridis var. ampliatum (Ehrenb.) Cleve	VARIETY
Neidium iridis var. obtusa	Neidium iridis var. obtusa Hustedt, 1950	VARIETY
Neidium iridis var. parallela	Neidium iridis var. parallela Zanon, 1938	VARIETY
Neidium iridis f. vernale	Neidium iridis f. vernale Reichelt	FORM
Neidium ladogensis var. densestriata	Neidium ladogense var. densestriata (Østrup) Foged, 1952	VARIETY
Nitzschia elegantula	Nitzschia elegantula Grunow, 1881	SPECIES
Navicula elginensis	Navicula elginensis (W.Gregory) Ralfs, 1861	SPECIES
Neidium lineare	Neidium lineare Østrup, 1918	SPECIES
Neidium perminutum	Neidium perminutum Cleve-Euler, 1934	SPECIES
Nitzschia epithemiformis	Nitzschia epithemiformis Lange-Bertalot, 1980	SPECIES
Neidium productum	Neidium productum (W.Smith) Cleve, 1894	SPECIES
Navicula erifuga	Navicula erifuga Lange-Bertalot	SPECIES
Neidium subampliatum	Neidium subampliatum (Grunow) R.Flower, 2005	SPECIES
Navicula escambia	Navicula escambia (R.M.Patrick) Metzeltin & Lange-Bertalot	SPECIES
Neidium tenuissimum	Neidium tenuissimum Hustedt, 1943	SPECIES
Nitzschia eutinensis	Nitzschia eutinensis H.Lange-Bertalot & M.Werum, 2014	SPECIES
Navicula evanida	Navicula evanida Hustedt, 1942	SPECIES
Neidium vernale	Neidium vernale (Reichelt) Metzeltin & Lange-Bertalot, 2007	SPECIES
Navicula excelsa	Navicula excelsa Krasske, 1925	SPECIES
Navicula exilis	Navicula exilis Kützing	SPECIES
Navicula exilissima	Navicula exilissima Grunow	SPECIES
Navicula exasperans	Navicula exasperans Kociolek & Reviers, 1996	SPECIES
Nitzschia fasciculata	Nitzschia fasciculata (Grunow) Grunow, 1881	SPECIES
Neofragilaria bicapitata	Neofragilaria bicapitata (Mayer) D.N.Williams & Round, 1987	SPECIES
Nitzschia frustulum var. bulnheimiana	Nitzschia frustulum var. bulnheimiana (Rabenhorst) Grunow, 1881	VARIETY
Nitzschia filiformis var. conferta	Nitzschia filiformis var. conferta (Richt) Lange-Bertalot, 1987	VARIETY
Nitzschia filiformis	Nitzschia filiformis Hajós, 1959	SPECIES
Nitzschia filiformis terato	Nitzschia filiformis Hajós, 1959	SPECIES
Navicula fluviatilis	Navicula fluviatilis Hustedt, 1957	SPECIES
Nitzschia frustulum var. minutula	Nitzschia frustulum var. minutula Grunow, 1881	VARIETY
Nitzschia fonticola f. minutissima	Nitzschia fonticola f. minutissima Compère, 1975	FORM
Nitzschia fonticola	Nitzschia fonticola (Grunow) Grunow, 1881	SPECIES
Navicula fossalis	Navicula fossalis	SPECIES
Nitzschia fonticola terato	Nitzschia fonticola (Grunow) Grunow, 1881	SPECIES
Nitzschia fonticola var. pelagica	Nitzschia fonticola var. pelagica Hustedt, 1924	VARIETY
Nitzschia frustulum var. perminuta	Nitzschia frustulum var. perminuta Grunow	VARIETY
Nitzschia frustulum var. perpusilla	Nitzschia frustulum var. perpusilla (Rabenh.) Grunow	VARIETY
Navicula frugalis	Navicula frugalis Hustedt	SPECIES
Nitzschia ferrazae	Nitzschia ferrazae Cholnoky, 1968	SPECIES
Navicula fasciata	Navicula fasciata Lagerstedt, 1873	SPECIES
Nitzschia frustulum var. subsalina	Nitzschia frustulum var. subsalina Hustedt, 1930	VARIETY
Nitzschia frustulum terato	Nitzschia frustulum (Kützing) Grunow, 1880	SPECIES
Navicula frustulum	Navicula frustulum Hustedt, 1945	SPECIES
Neofragilaria virescens	Neofragilaria virescens (Ralfs) Williams & Round, 1987	SPECIES
Navicula gallica	Navicula gallica (W.Smith) Lagerstedt, 1873	SPECIES
Nitzschia gandersheimiensis	Nitzschia gandersheimiensis Krasske, 1927	SPECIES
Navicula gastrum	Navicula gastrum (Ehrenb.) Kütz., 1844	SPECIES
Nitzschia gandersheimiensis f. tenuirostris	Nitzschia gandersheimiensis f. tenuirostris (Grunow) Lange-Bertalot, 1980	FORM
Navigiolum canoris	Navigiolum canoris (Hohn & Hellerman) Lange-Bertalot, 2003	SPECIES
Navicula gracilis f. constricta	Navicula gracilis f. constricta Krasske, 1925	FORM
Navicula gracilis var. cuneata	Navicula gracilis var. cuneata Lauby, 1910	VARIETY
Navicula germainii	Navicula germainii Wallace	SPECIES
Nitzschia gessneri	Nitzschia gessneri Hustedt, 1953	SPECIES
Nitzschia goetzeana var. gracilior	Nitzschia goetzeana Otto Müller	SPECIES
Nitzschia gisela	Nitzschia gisela Lange-Bertalot, 1987	SPECIES
Navicula gracilis var. laevis	Navicula gracilis var. laevis Kützing, 1849	VARIETY
Navicula goeppertiana	Navicula goeppertiana (Bleisch) H.L.Smith, 1876-1888	SPECIES
Navicula gallica var. perpusilla	Navicula gallica var. perpusilla (Grunow) Lange-Bertalot, 1985	VARIETY
Navicula goeppertiana var. peguana	Navicula goeppertiana var. peguana (Grunow) Lange-Bert., 1985	VARIETY
Navicula gracilis	Navicula gracilis Lauby, 1910	SPECIES
Navicula gregaria	Navicula gregaria Donkin	SPECIES
Navicula grimmei	Navicula grimmei Krasske	SPECIES
Navicula graciloides	Navicula graciloides Mayer	SPECIES
Navicula gregaria terato	Navicula gregaria Donkin	SPECIES
Navicula halophila	Navicula halophila (Grunow) Cleve, 1894	SPECIES
Nitzschia hantzschiana	Nitzschia hantzschiana Rabenhorst, 1860	SPECIES
Navicula hassiaca	Navicula hassiaca Krasske, 1925	SPECIES
Navicula hudsonis	Navicula hudsonis Grunow, 1891	SPECIES
Navicula heufleri	Navicula heufleri Grunow	SPECIES
Navicula helensis	Navicula helensis Schulz, 1926	SPECIES
Nitzschia heufleriana	Nitzschia heufleriana Grunow, 1862	SPECIES
Nitzschia hiemalis	Nitzschia hiemalis Hustedt, 1943	SPECIES
Navicula hintzii	Navicula hintzii Lange-Bertalot	SPECIES
Navicula heufleri var. leptocephala	Navicula heufleri var. leptocephala (Brébisson) Patrick	VARIETY
Navicula hungarica var. luneburgensis	Navicula hungarica var. luneburgensis Grunow, 1882	VARIETY
Navicula heimansioides	Navicula heimansioides Lange-Bertalot	SPECIES
Navicula heimansii	Navicula heimansii van Dam & Kooyman	SPECIES
Nitzschia homburgiensis	Nitzschia homburgiensis Lange-Bertalot, 1978	SPECIES
Nitzschia hustedtiana	Nitzschia hustedtiana Salah, 1953	SPECIES
Navicula hansenii	Navicula hansenii M.Møller	SPECIES
Nitzschia heufleriana terato	Nitzschia heufleriana Grunow, 1862	SPECIES
Nitzschia hustedtiana	Nitzschia hustedtiana Salah, 1953	SPECIES
Navicula hungarica var. capitata	Navicula hungarica var. capitata (Ehrenberg) Cleve, 1895	VARIETY
Navicula hungarica	Navicula hungarica	SPECIES
Navicula hustedtii var. obtusa	Navicula hustedtii var. obtusa Hustedt, 1934	VARIETY
