taxa	scientificName	rank	kingdom	phylum	class	order	family	genus
Gomphoneis minuta	Gomphoneis minuta (Stone) Kociolek & Stoermer, 1988	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphoneis
Gomphonema montanum var. mustela	Gomphonema montanum Schum.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Geissleria modica	Geissleria modica (Hustedt) Wetzel, Novais & Ector	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Gomphonema montanum	Gomphonema montanum Schum.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema micropumilum	Gomphonema micropumilum Reichardt, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema montanum var. subclavatum	Gomphonema montanum var. subclavatum Grunow, 1880	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema minutum terato	Gomphonema minutum (C.Agardh) C.Agardh, 1831	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gyrosigma nodiferum	Gyrosigma nodiferum West	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma
Gyrosigma nodiferum terato	Gyrosigma nodiferum West	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma
Gomphoneis rhombica	Gomphoneis rhombica (Fricke) Merino, García, Hernández-Mariné & Fernández, 1994	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphoneis
Gomphonema occultum	Gomphonema occultum Reichardt & Lange-Bertalot, 1991	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Geissleria ohridana	Geissleria ohridana Levkov, 2007	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Geissleria
Gomphonema olivaceoides	Gomphonema olivaceoides	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema olivaceum	Gomphonema olivaceum (Hornemann) Ehrenberg, 1838	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema olivaceolacuum	Gomphonema olivaceolacuum (Lange-Bertalot & Reichardt) Lange-Bertalot & Reichardt, 2004	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphoneis olivaceoides	Gomphoneis olivaceoides (Hustedt) J.R.Carter, 1981	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphoneis
Gomphoneis olivacea	Gomphoneis olivacea (Hornemann) P.Dawson ex R.Ross & P.A.Sims, 1978	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphoneis
Gomphonema olivaceum var. minutissimum	Gomphonema olivaceum var. minutissima Hustedt, 1930	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema sp. terato	Gomphonema C.G.Ehrenberg, 1832	GENUS	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema olivaceum var. olivaceolacuum	Gomphonema olivaceum var. olivaceolacuum Lange-Bertalot & Reichardt, 1993	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema olivaceum var. olivaceoides	Gomphonema olivaceum var. olivaceoides (Hustedt) Lange-Bertalot, 1989	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema pala	Gomphonema pala E.Reichardt, 2001	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema olivaceum var. tenellum	Gomphonema olivaceum var. tenellum	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema olivaceum terato	Gomphonema olivaceum (Hornemann) Ehrenberg, 1838	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphoneis olivaceolacua	Gomphoneis olivaceolacua (Lange-Bertalot & E.Reichardt) J.P.Kociolek & M.S.Kulikovskiy, 2013	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphoneis
Gomphonema pseudoaugur terato	Gomphonema pseudoaugur Lange-Bertalot, 1979	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Geissleria paludosa	Geissleria paludosa (Hustedt) Lange-Bertalot & Metzeltin, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Gomphonema parvulum	Gomphonema parvulum (Kützing) Kützing, 1849	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema parvulum var. parvulum f. saprophilum	Gomphonema parvulum f. saprophilum Lange-Bertalot & Reichardt, 1993	FORM	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema parvulum terato	Gomphonema parvulum (Kützing) Kützing, 1849	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema pumilum var. elegans	Gomphonema pumilum var. elegans E.Reichardt & Lange-Bert., 1997	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphosphenia grovei var. lingulata	Gomphosphenia grovei var. lingulata (Hustedt) Lange-Bertalot, 1995	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphosphenia grovei	Gomphosphenia grovei (M.Schmidt) Lange-Bertalot, 1995	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Rhoicospheniaceae	Gomphosphenia
Gomphosphenia holmquistii	Gomphosphenia holmquistii (Foged) Lange-Bertalot, 1995	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Rhoicospheniaceae	Gomphosphenia
Gomphonema parvulum var. lagenula	Gomphonema parvulum var. lagenula (Kützing) Frenguelli, 1923	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphosphenia lingulatiformis	Gomphosphenia lingulatiformis (Lange-Bertalot & E.Reichardt) Lange-Bertalot, 1995	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Rhoicospheniaceae	Gomphosphenia
Gomphonema parvulum var. micropus	Gomphonema parvulum var. micropus (Kützing) Cleve, 1894	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema parvulum var. neosaprophilum	Gomphonema parvulum (Kützing) Kützing, 1849	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema parvulum var. parvulius	Gomphonema parvulum var. parvulius Lange-Bertalot & Reichardt, 1993	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema procerum	Gomphonema procerum Reichardt & Lange-Bertalot, 1991	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema pumilum var. rigidum	Gomphonema pumilum (Grunow) E.Reichardt & Lange-Bertalot, 1991	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema productum	Gomphonema productum (Grunow) Lange-Bertalot & Reichardt, 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema pseudoaugur	Gomphonema pseudoaugur Lange-Bertalot, 1979	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema pseudotenellum	Gomphonema pseudotenellum Lange-Bertalot, 1985	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema parvulum var. tergestina	Gomphonema parvulum var. tergestina (Grunow) Cleve, 1894	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema pumilum var. pumilum	Gomphonema pumilum f. pumilum	FORM	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema pumilum terato	Gomphonema pumilum (Grunow) E.Reichardt & Lange-Bertalot, 1991	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema parvulius	Gomphonema parvulius (Lange-Bertalot & E.Reichardt) Lange-Bertalot & E.Reichardt, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema parvulum var. exilissimum	Gomphonema parvulum var. exilissimum Grunow, 1880	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema rhombicum	Gomphonema rhombicum Fricke, 1904	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema rhombicum	Gomphonema rhombicum Fricke, 1904	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema rosenstockianum	Gomphonema rosenstockianum H.Lange-Bertalot & Reichardt, 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Grunowia solgensis	Grunowia solgensis (Cleve-Euler) M.Aboal, 2003	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Gomphonema sagitta	Gomphonema sagitta Schumann, 1863	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema sarcophagus	Gomphonema sarcophagus	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema subclavatum var. bonaerensis	Gomphonema subclavatum var. bonaerensis Frenguelli, 1925	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gyrosigma scalproides	Gyrosigma scalproides (Rabenhorst) Cleve, 1894	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma
Gomphonema schweickerdtii	Gomphonema schweickerdtii Cholnoky, 1954	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gyrosigma sciotense	Gyrosigma sciotense (Sullivan & Wormley) Cleve, 1894	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Pleurosigma
Gomphonema subclavatum	Gomphonema subclavatum (Grunow) Grunow, 1884	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gyrosigma scalproides terato	Gyrosigma scalproides (Rabenhorst) Cleve, 1894	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma
Gomphonema semiapertum var. tergestina	Gomphonema semiapertum var. tergestina Grunow, 1880	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema subclavatum var. fossilis	Gomphonema subclavatum var. fossilis Frenguelli, 1926	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Geissleria schoenfeldii	Geissleria schoenfeldii (Hustedt) Lange-Bertalot & Metzeltin, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Geissleria similis	Geissleria similis (Krasske) Lange-Bertalot & Metzeltin, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Gomphonema subclavatum var. montanum	Gomphonema subclavatum var. montana (Schumann) Cleve, 1894	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gyrosigma spencerii var. nodifera	Gyrosigma spenceri var. nodiferum (Grun.In Cleve & Grun.) Cleve, 1894	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma
Gyrosigma spencerii	Gyrosigma spencerii Cleve, 1895	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma
Gomphonema saprophilum	Gomphonema saprophilum (Lange-Bertalot & Reichardt) Monnier	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema separatipunctatum	Gomphonema separatipunctatum Kobayashi, 1964	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema subtile var. sagitta	Gomphonema subtile var. sagitta (Schum.) Grunow	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema subtile var. typicum	Gomphonema subtile var. typicum Cleve-Euler, 1955	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema subtile	Gomphonema subtile Ehrenberg, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema tergestinum f. anormale	Gomphonema tergestinum (Grunow) Fricke, 1902	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema tergestinum	Gomphonema tergestinum (Grunow) Fricke, 1902	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema tenellum	Gomphonema tenellum	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema truncatum terato	Gomphonema truncatum Ehrenberg, 1832	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema truncatum	Gomphonema truncatum Ehrenberg, 1832	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema utae	Gomphonema utae Lange-Bertalot & E.Reichardt, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema vibrio var. bohemicum	Gomphonema vibrio var. bohemicum (Reichelt & Fricke) R.Ross, 1986	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema ventricosum	Gomphonema ventricosum Skabichevskii, 1985	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema vibrio var. intricatum	Gomphonema vibrio var. intricatum (Kützing) R.Ross, 1986	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema vibrio var. pumilum	Gomphonema vibrio var. pumilum Hartley, 1986	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema vibrio var. pulvinatum	Gomphonema vibrio var. pulvinatum (Braun ex Rabhorst) R.Ross, 1986	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gyrosigma acuminatum	Gyrosigma acuminatum (Kützing) Rabenhorst, 1853	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma
Gyrosigma attenuatum	Gyrosigma attenuatum (Kützing) Rabenhorst, 1853	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma
Gyrosigma kuetzingii	Gyrosigma kuetzingii (Grunow) Cleve, 1894	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Gyrosigma
Gyrosigma obtusatum	Gyrosigma obtusatum (Sullivant & Wormley) C.S.Boyer, 1922	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	Pleurosigma
Hannaea arcus var. amphioxys	Hannaea arcus var. amphioxys (Rabenhorst) R.M.Patrick, 1966	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Hannaea
Hantzschia abundans	Hantzschia abundans Lange-Bertalot, 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Hantzschia
Halamphora coffeaeformis	Halamphora coffeaeformis (C.Agardh) Levkov, 2009	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Halamphora
Hannaea arcus var. hattoriana	Hannaea arcus var. hattoriana (Meister) T.Ohtsuka, 2002	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Hannaea
Hannaea arcus var. linearis	Hannaea arcus var. linearis (Holmboe) R.Ross, 1986	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Hannaea
Hannaea arcus var. linearis	Hannaea arcus var. linearis (Holmboe) R.Ross, 1986	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Hannaea
Hantzschia amphioxys	Hantzschia amphioxyss (Ehrenberg) Grunow, 1880	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Hantzschia
Hannaea arcus	Hannaea arcus (Ehrenberg) R.M.Patrick, 1966	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Hannaea
Hippodonta avittata	Hippodonta avittata (Cholnoky) Lange-Bert., Metzeltin & Witkowski, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Hippodonta
Hantzschia amphioxys var. xerophila	Hantzschia amphioxys var. xerophila Grunow, 1880	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Hantzschia
Handmannia bodanica	Handmannia bodanica (Grunow) Kociolek & Khursevich	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Lindavia
Hippodonta capitata	Hippodonta capitata (Ehrenberg) Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Hippodonta
Hippodonta costulata	Hippodonta costulata (Grunow) Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Handmannia comta	Handmannia comta (Ehrenberg) Kociolek & Khursevich, 2012	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Lindavia
Handmannia comta	Handmannia comta (Ehrenberg) Kociolek & Khursevich, 2012	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Lindavia
Hippodonta dulcis	Hippodonta dulcis M.Potapova, 2013	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Hippodonta
Halamphora holsatica	Halamphora holsatica (Hustedt) Levkov, 2009	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Halamphora
Hippodonta hungarica	Hippodonta hungarica (Grunow) Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Halamphora acutiuscula	Halamphora acutiuscula (Kützing) Levkov, 2009	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Halamphora
Halamphora montana	Halamphora montana (Krasske) Levkov, 2009	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Halamphora
Hannaea linearis	Hannaea R.Patrick, 1966	GENUS	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Hannaea
Hippodonta lueneburgensis	Hippodonta lueneburgensis (Grunow) Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Hippodonta
Halamphora normanii	Halamphora normanii (Rabenhorst) Levkov, 2009	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Halamphora
Halamphora oligotraphenta	Halamphora oligotraphenta (Lange-Bertalot) Levkov, 2009	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Halamphora
Humidophila perpusilla	Humidophila perpusilla (Grunow) Lowe, Kociolek, Johansen, Van de Vijver, Lange-Bertalot & Kopalová, 2014	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Diadesmidaceae	Humidophila
Handmannia radiosa	-	-	-	-	-	-	-	-
Halamphora submontana	Halamphora submontana (Hustedt) Levkov, 2009	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora
Himantidium soleirolii	Himantidium soleirolii Wm.Smith, 1856	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	-	-	Himantidium
Halamphora subturgida	Halamphora subturgida (Hustedt) Levkov, 2009	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora
Hippodonta subtilissima	Hippodonta subtilissima Lange-Bertalot, Metzeltin & Witkowski, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Hippodonta
Hydrosera triquetra	Hydrosera triquetra G.C.Wallich	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Biddulphiales	Biddulphiaceae	Hydrosera
Humidophila contenta	Humidophila contenta (Grunow) Lowe, Kociolek, Johansen, Van de Vijver, Lange-Bertalot & Kopalová, 2014	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Diadesmidaceae	Humidophila
Halamphora veneta	Halamphora veneta (Kützing) Levkov, 2009	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora
Hantzschia xerophila	Hantzschia xerophila (Grunow) Lange-Bertalot, 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Hantzschia
Hyalosira delicatula	Hyalosira delicatula Kützing, 1844	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Rhabdonematales	Rhabdonemataceae	Hyalosira
Hyalosira sp.	Hyalosira F.T.Kützing, 1844	GENUS	Chromista	Ochrophyta	Bacillariophyceae	Rhabdonematales	Rhabdonemataceae	Hyalosira
Iconella bifrons	Iconella bifrons (Ehrenberg) Ruck & Nakov	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Surirellaceae	Surirella
Iconella biseriata	Iconella biseriata (Brébisson) Ruck & Nakov	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Surirellaceae	Surirella
Iconella	-	-	-	-	-	-	-	-
Iconella sp.	-	-	-	-	-	-	-	-
Iconella curvula	Iconella curvula (W.Smith) Ruck & Nakov	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Synedra
Iconella hibernica	Iconella hibernica (Ehrenberg) Ruck & Nakov	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Surirellaceae	Campylodiscus
Iconella linearis	Iconella linearis (W.Smith) Ruck & Nakov, 2016	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Surirellaceae	Surirella
Iconella linearis	Iconella linearis (W.Smith) Ruck & Nakov, 2016	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Surirellaceae	Surirella
Iconella spiralis	Iconella spiralis (Kützing) Ruck & Nakov	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Surirellaceae	Spirodiscina
Iconella spiralis	Iconella spiralis (Kützing) Ruck & Nakov	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Surirellaceae	Spirodiscina
Iconella splendida	Iconella splendida (Ehrenberg) Ruck & Nakov	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Iconella tenera	Iconella tenera (W.Gregory) Ruck & Nakov	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Surirellaceae	Surirella
Karayevia amoena	Karayevia amoena (Hust.) Bukht., 2006	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
Karayevia kolbei	Karayevia kolbei (Hudtedt) Bukhtiyarova, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Karayevia laterostrata	Karayevia laterostrata (Hustedt) Round & Bukhtiyarova, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Kolbesia amoena	Kolbesia amoena (Hustedt) J.C.Kingston, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Kolbesia
Karayevia ploenensis var. gessneri	Karayevia ploenensis var. gessneri (Hustedt) Bukhtiyarova, 1999	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Karayevia ploenensis	Karayevia ploenensis (Hustedt) Bukhtiyarova, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
Karayevia ploenensis f. anormale	Karayevia ploenensis (Hustedt) Bukhtiyarova, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
Karayevia suchlandtii	Achnanthales	ORDER	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	-	-
Karayevia clevei	Karayevia clevei (Grunow) Round & Bukhtiyarova, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
Karayevia clevei	Karayevia clevei (Grunow) Round & Bukhtiyarova, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
Karayevia clevei	Karayevia clevei (Grunow) Round & Bukhtiyarova, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
Karayevia clevei var. rostrata	Karayevia F.E.Round & L.Bukhtiyarova ex F.E.Round, 1998	GENUS	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
Kolbesia gessneri	Kolbesia gessneri (Hustedt) M.Aboal, 2003	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Kolbesia gessneri f. anormale	Kolbesia gessneri (Hustedt) M.Aboal, 2003	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
