Species	Genus	Family	Order	Class	Phylum	Subkingdom	Kingdom	Empire
Skeletonema marinoi	Skeletonema	Skeletonemataceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia sp.	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Thalassiosira sp.	Thalassiosira	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Odontella aurita	Odontella	Triceratiaceae	Triceratiales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Odontella aurita	Odontella	Triceratiaceae	Triceratiales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Diatoma hyemalis	Diatoma	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Hyalosira delicatula	Hyalosira	Striatellaceae	Striatellales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Synedropsis hyperborea	Synedropsis	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Climacosphenia moniligera	Climacosphenia	Climacospheniaceae	Climacospheniales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Ardissonea baculus	Ardissonea	Ardissoneaceae	Ardissoneales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Staurosira mutabilis	Staurosira	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Staurosira shiloi	Staurosira	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Skeletonema sp.	Skeletonema	Skeletonemataceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Staurosira mutabilis	Staurosira	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria vaucheriae	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Punctastriata sp.	Punctastriata	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria nanana	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria nanana	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilariforma virescens	Fragilariforma	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria vaucheriae	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria austriaca	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria vaucheriae	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria bidens	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Diatoma tenuis	Diatoma	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Diatoma tenuis	Diatoma	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria sp.	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria vaucheriae	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Ulnaria ulna	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Ulnaria acus	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Asterionella formosa	Asterionella	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Ulnaria acus	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria rumpens	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria delicatissima	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Staurosira mutabilis	Staurosira	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Stauroneis kriegeri	Stauroneis	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia substreptoraphe	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Stauroneis phoenicenteron	Stauroneis	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Placoneis hambergii	Placoneis	Cymbellaceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Prestauroneis integra	Prestauroneis	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia mesolepta	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia viridis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula cryptotenella	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Stauroneis anceps	Stauroneis	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia mesolepta	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia rupestris	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Stauroneis kriegeri	Stauroneis	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Stauroneis gracilior	Stauroneis	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Stauroneis phoenicenteron	Stauroneis	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia obscura	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia viridiformis	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia microstauron	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia microstauron	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia microstauron	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia microstauron	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia subcapitata	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Placoneis elginensis	Placoneis	Cymbellaceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella choctawhatcheeana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Asterionella formosa	Asterionella	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Caloneis lauta	Caloneis	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Encyonema caespitosum	Encyonema	Cymbellaceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella scaldensis	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella scaldensis	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Conticribra weissflogii	Conticribra	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Tabularia tabulata	Tabularia	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Grammatophora marina	Grammatophora	Grammatophoraceae	Striatellales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Talaroneis posidoniae	Talaroneis	Plagiogrammaceae	Triceratiales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Asterionellopsis glacialis	Asterionellopsis	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula cari	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Chaetoceros muelleri	Chaetoceros	Chaetocerotaceae	Chaetocerotales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia sp.	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia pungens	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia pungens	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia pungens	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia pseudodelicatissima	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia multiseries	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia granii	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia granii	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia australis	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia cuspidata	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Seminavis robusta	Seminavis	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia sp.	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula phyllepta	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Skeletonema sp.	Skeletonema	Skeletonemataceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria capucina	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Staurosira sp.	Staurosira	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Staurosirella sp.	Staurosirella	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Punctastriata sp.	Punctastriata	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Punctastriata sp.	Punctastriata	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudostaurosiropsis sp.	Pseudostaurosiropsis	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudostaurosiropsis sp.	Pseudostaurosiropsis	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudostaurosiropsis sp.	Pseudostaurosiropsis	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Punctastriata sp.	Punctastriata	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Staurosira sp.	Staurosira	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria sp.	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudostaurosiropsis sp.	Pseudostaurosiropsis	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Ulnaria ulna	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Ulnaria ulna var. angustissima	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudostaurosira zeilleri var. elliptica	Pseudostaurosira	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Staurosirella pinnata	Staurosirella	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria capucina	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Staurosirella sp.	Staurosirella	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria capucina	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Diatoma vulgaris	Diatoma	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Staurosira construens	Staurosira	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Diatoma vulgaris	Diatoma	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Diatoma tenuis	Diatoma	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Chaetoceros muelleri	Chaetoceros	Chaetocerotaceae	Chaetocerotales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Mediopyxis helysia	Mediopyxis	Mediophyaceae incertae sedis	Mediophysales incertae sedis	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Stephanodiscus niagarae	Stephanodiscus	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Porosira pseudodenticulata	Porosira	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Thalassiosira profunda	Thalassiosira	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia multiseries	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia multiseries	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia multiseries	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pseudo-nitzschia australis	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia vitrea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia sigma	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia communis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia amphibia	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Stephanodiscus hantzschii	Stephanodiscus	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Thalassiosira aestivalis	Thalassiosira	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Thalassiosira tumida	Thalassiosira	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Thalassiosira pseudonana	Thalassiosira	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Thalassiosira minima	Thalassiosira	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Thalassiosira nordenskioeldii	Thalassiosira	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Thalassiosira oceanica	Thalassiosira	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Minidiscus trioculatus	Minidiscus	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Skeletonema grethae	Skeletonema	Skeletonemataceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cylindrotheca closterium	Cylindrotheca	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cylindrotheca closterium	Cylindrotheca	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cylindrotheca closterium	Cylindrotheca	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Thalassiosira hendeyi	Thalassiosira	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Thalassiosira anguste-lineata	Thalassiosira	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cylindrotheca closterium	Cylindrotheca	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cylindrotheca closterium	Cylindrotheca	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cylindrotheca closterium	Cylindrotheca	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cylindrotheca closterium	Cylindrotheca	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cylindrotheca closterium	Cylindrotheca	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Skeletonema menzelii	Skeletonema	Skeletonemataceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Skeletonema menzelii	Skeletonema	Skeletonemataceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Skeletonema marinoi	Skeletonema	Skeletonemataceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Skeletonema marinoi	Skeletonema	Skeletonemataceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Skeletonema marinoi	Skeletonema	Skeletonemataceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Skeletonema marinoi	Skeletonema	Skeletonemataceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
