Species	Genus	Family	Order	Subclass	Class	Subphylum	Subkingdom	Kingdom
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia guyana	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Paralia marina	Paralia	Paraliaceae	Paraliales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Neidium hitchcockii	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium amphigomphus	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium tumescens	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium tumescens	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium dilatatum	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium fossum	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium sp.	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Nitzschia ovalis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Achnanthidium straubianum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Conticribra weissflogiopsis	Conticribra	Thalassiosiraceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Achnanthidium saprophilum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Fragilaria capucina	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Eunotia minor	Eunotia	Eunotiaceae	Eunotiales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Quercus robur	Quercus							
Quercus monimotricha	Quercus							
Bolidomonas pacifica	Bolidomonas							
Ulothrix zonata	Ulothrix							
Spirogyra gracilis	Spirogyra							
Zygnema aplanosporum	Zygnema							
Chilomonas paramecium	Chilomonas							
Dinobryon sociale	Dinobryon							
Mougeotia transeaui	Mougeotia							
Chara vulgaris	Chara							
Bangia atropurpurea	Bangia							
Zea mays	Zea							
Solanum lycopersicum	Solanum							
Pinus pinea	Pinus							
Danthonia intermedia	Danthonia							
Azolla rubra	Azolla							
Rhoicosphenia abbreviata	Rhoicosphenia	Rhoicospheniaceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Rhoicosphenia abbreviata	Rhoicosphenia	Rhoicospheniaceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora copulata	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora abludens	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora abludens	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora beaufortiana	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora caribaea	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora copulata	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora graeffeana	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora hyalina	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora pediculus	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora laevissima	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora lineolata	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora obtusa var. crassa	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora ovalis	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora pediculus	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora proteus	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora securicula	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora hyalina	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora semperpalorum	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora sublaevis	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora sublaevis	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora subtropica	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora sulcata	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Amphora waldeniana	Amphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora coffeaeformis	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora coffeaeformis	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora veneta	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora oligotraphenta	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora veneta	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora veneta	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus crypticus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus crypticus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus crypticus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Stephanocyclus meneghinianus	Stephanocyclus	Stephanodiscaceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Melosira varians	Melosira	Melosiraceae	Melosirales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Melosira varians	Melosira	Melosiraceae	Melosirales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Surirella solea	Surirella	Surirellaceae	Surirellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Surirella solea	Surirella	Surirellaceae	Surirellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium tumescens	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Neidium tumescens	Neidium	Neidiaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Cymbopleura subcuspidata	Cymbopleura	Cymbellaceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Cymbopleura subcuspidata	Cymbopleura	Cymbellaceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Cymbopleura subcuspidata	Cymbopleura	Cymbellaceae	Cymbellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Gyrosigma acuminatum	Gyrosigma	Pleurosigmataceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Gyrosigma acuminatum	Gyrosigma	Pleurosigmataceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Navicula cryptocephala	Navicula	Naviculaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Nitzschia sigmoidea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Aulacoseira granulata	Aulacoseira	Aulacoseiraceae	Aulacoseirales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Aulacoseira granulata	Aulacoseira	Aulacoseiraceae	Aulacoseirales	Melosirophycideae	Melosirophyceae	Melosirophytina	Diatomeae	Diatomista
Neodelphineis sp.	Neodelphineis	Rhaphoneidaceae	Rhaphoneidales	Urneidophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Licmophora ehrenbergii	Licmophora	Licmophoraceae	Licmophorales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Licmophora abbreviata	Licmophora	Licmophoraceae	Licmophorales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Discostella pseudostelligera	Discostella	Skeletonemataceae	Thalassiosirales	Thalassiosirophycidae	Mediophyceae	Bacillariophytina	Diatomeae	Diatomista
Navicula perminuta	Navicula	Naviculaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Navicula perminuta	Navicula	Naviculaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Navicula perminuta	Navicula	Naviculaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Navicula perminuta	Navicula	Naviculaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Grammonema rostockensis	Grammonema	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Nitzschia aff. dubiiformis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Navicula perminuta	Navicula	Naviculaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Cylindrotheca closterium	Cylindrotheca	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Cylindrotheca closterium	Cylindrotheca	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Nitzschia aff. leavis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Surirella cf. minuta	Surirella	Surirellaceae	Surirellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Surirella cf. minuta	Surirella	Surirellaceae	Surirellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Phaeodactylum tricornutum	Phaeodactylum	Phaeodactylaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Grammonema rostockensis	Grammonema	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Attheya decora	Attheya	Attheyaceae	Chaetocerotales	Attheya	Biddulphiophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora woelfeliae	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Halamphora woelfeliae	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Grammonema rostockensis	Grammonema	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Entomoneis pseudoduplex	Entomoneis	Entomoneidaceae	Surirellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Entomoneis pseudoduplex	Entomoneis	Entomoneidaceae	Surirellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Nitzschia aff. dubiiformis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Grammonema rostockensis	Grammonema	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Entomoneis pseudoduplex	Entomoneis	Entomoneidaceae	Surirellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Entomoneis pseudoduplex	Entomoneis	Entomoneidaceae	Surirellales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Navicula kongfjordensis	Navicula	Naviculaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Pseudo-nitzschia arenysensis	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Pseudo-nitzschia galaxiae	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Pseudo-nitzschia galaxiae	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Pseudo-nitzschia hasleana	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Pseudo-nitzschia linea	Pseudo-nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Simonsenia aveniformis	Simonsenia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Dimeregramma sp.	Dimeregramma	Plagiogrammaceae	Triceratiales	Urneidophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Dimeregramma sp.	Dimeregramma	Plagiogrammaceae	Triceratiales	Urneidophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
